페이지,순번,게시일,리포트명,종목명,티커,거래소,투자의견,PDF URL,PDF 파일명,리포트 현재주가,Bear 목표가,Base 목표가,Bull 목표가,목표가 통화,목표가 세부,투자포인트,추출 상태,비고
1,11,2025-12-01T02:57:45,"Equity Research, Iradimed Corporation",Iradimed Corporation,IRMD,NASDAQ,Buy,http://snusmic.com/wp-content/uploads/2025/12/25_2_3주차_수정보고서_5팀_Iradimed_Corporation.pdf,2025-12-01_equity-research-iradimed-corporation.pdf,,,146.0,,USD,rating=Buy; base=146,"– Historical PER Method 27E Diluted EPS $ 3.76에 Target PER 38.9x를 적용한 Target Price $ 146, Upside 67%, Rating BUY, IRR 52.5%를 제시한다. 신제품 출시로 인한 ASP 14% 상승, CAPA 2.5배로 선제적 증설을 마친 동사는 폭발적인 증익을 맞이할 준비가 끝났다. 25년 연 간 실적발표에서 26년의 구체적인 가이던스를 제시하면 주가는 반드시 반응할 것이 다. 26E Diluted EPS에 최근 3달 평균 Fwd PER 43.1x를 곱하면, 이것만으로도 17%의 Upside가 나온다. 그렇게 1년 뒤인 27년 초에는 목표주가에 도달할 것이고, 먼 미래인 10년 뒤에는 또다시 신제품 출시와 upselling으로 Ten-Bagger를 향할 것이다....",ok,markdown reextract
1,12,2025-12-01T02:52:50,"Equity Research, Sensient Technologies Corp",Sensient Technologies Corp,SXT,NYSE,,http://snusmic.com/wp-content/uploads/2025/12/25_2_3주차_수정보고서_4팀_Sensient_Technologies_Corp.pdf,2025-12-01_equity-research-sensient-technologies-corp.pdf,,,238.0,,USD,base=238,"– Historical PER Method 27E EPS $ 8.91에 Target 12MF PER Multiple 26.75x를 적용한 목표주가 $ 238, 투자 의견 Must Buy를 제시한다. 동사는 전술했듯 천연색소 전환이라는 패러다임에서 압도 적인 탑라인 성장을 바탕으로 전례없는 이익을 창출해낼 것이다. 그런데 동사의 25~27년 2기간 세후 IRR은 무려 72%로 예상된다. 만약 26년말 ① 최소 35.5%의 수 익이 발생하는 투자처를 찾지 못한다면, ② 새로운 투자로부터 발생하는 리스크를 회 피하고 싶다면 동사 주식을 Holding함으로써 연평균 72%의 달콤한 수익을 누려보자. ##### <Estimated Income Statement> Estimated Income Statement 14.2 (U.S. Dollars i...",ok,markdown reextract
2,1,2025-12-01T02:51:23,"Equity Research, IMAX Corp",IMAX Corp,IMAX,NYSE,,http://snusmic.com/wp-content/uploads/2025/12/25_2_3주차_수정보고서_3팀_IMAX_Corp.pdf,2025-12-01_equity-research-imax-corp.pdf,35.4,,54.6,,USD,base=54.6,"1: I M… Inevitable 글로벌 OTT 플랫폼의 등장에 따라 전통적인 극장 산업은 쇠퇴의 기로에 놓인 것으 로 평가되고 있다. 하지만 극장 관람 시장을 쇠퇴하는 단일 시장으로만 간주한다면 핵심 투자 기회를 놓치는 우를 범할 수 있다. 동사는 양극화된 영화 산업 시장에서 고품질 영화 경험 수요 파이를 온전히 차지하고 있다. 상영관, 배급사, 제작자로부터 모두 매출을 창출하는 동사는 영화 산업의 탑 플레이어로 자리잡는 중이다. 영화 밸 류체인의 모든 분야에서 수혜를 누릴 동사를 이제 주목해야 할 시간이다. - 투자포인트 2: 3,000만큼 늘어나는 IMAX Contents 관객을 향한 동사의 플러팅 기술은 점점 다양해지고 있다. IMAX 필름으로 촬영된 압도적 스케일의 FFI 영화는 25년을 기점으로 크게 늘었으며, 일반 영화 역시...",ok,markdown reextract
2,2,2025-12-01T02:50:00,"Equity Research, JAC recruitment Co. Ltd",JAC recruitment Co. Ltd,2124,TYO,Buy,http://snusmic.com/wp-content/uploads/2025/12/25_2_3주차_수정보고서_2팀_JAC_recruitment_Co._Ltd..pdf,2025-12-01_equity-research-jac-recruitment-co-ltd.pdf,1108.0,,1686.0,,JPY,rating=Buy; base=1686,"– Historical PER Method 동사의 2027E EPS 80.1에 Target Multiple 21.02x를 적용한 1,686 ¥을 목표주가로 제시한다. 35세 이상 미들/하이클래스 이직과 연봉이 모두 상승하는 구간에 도입했 다. 이는 일시적 상승이 아닌 일본만의 특수한 인구역학 및 산업구조에 기인한 필연 적인 구조적 성장인 바, 전방 노동시장의 성장을 그대로 흡수할 준비가 된 지금, 동사를 봐야할 때다. 주요 주주 Tazaki Tadayoshi 20.85% Tazaki Hiromi 13.05% Kaneoya, Shingo 10.37% The Tazaki Foundation 5.54% 損益計算書(연결 손익계산서) (단위: 백만 엔) 2021 2022 2023 2024 3Q25 2025E 2026E 2027E 2028E SMI...",ok,markdown reextract
2,3,2025-12-01T02:45:05,"Equity Research, Establishment Labs Holdings",Establishment Labs Holdings,ESTA,NASDAQ,Buy,http://snusmic.com/wp-content/uploads/2025/12/25_2_3주차_수정보고서_1팀_Establishment_Labs_Holdings.pdf,2025-12-01_equity-research-establishment-labs-holdings.pdf,66.05,,118.76,,USD,rating=Buy; base=118.76,"1. 가슴이 웅장해진다 FDA 승인과 함께 불거진 유방 확대시장에서의 화제성을 놓치지 않고 고도의 마케팅 전략을 구사한 동사. 과연 소비자와 의사 두 마리 토끼 설득에 성공했을지 알아보자. - 24년 4분기부터 북미 시장에 처음으로 진출한 동사는 과연 어느 정도까지 점유율을 확보할 수 있을까? 북미 외 시장이 바텀을 책임지고 북미 시장으로 upside를 창출할 동사의 전략에 deep dive해보자. - 투자포인트 2. 곧 클 유방 재건 확대 시장보다 조금은 딱딱한 재건 시장. 재건 시장에서 장비를 사는 수요자들은 성 능이 최우선이다. 기존 경쟁사들이 기술·재무 리스크로 주춤하는 사이 MRI-호환의 혁신적인 조직확장기 ‘Flora’를 필두로 압도적 성능의 보형물, 그리고 라이센싱으로 지방 이식용 포트폴리오까지. 동사는 보형물 FDA승인이...",ok,markdown reextract
2,4,2025-11-11T04:46:05,"Equity Research, 두산",두산,000150,KRX,Buy,http://snusmic.com/wp-content/uploads/2025/11/25_2_2주차_수정보고서_5팀_두산.pdf,2025-11-11_equity-research-두산.pdf,949000.0,,1874000.0,,KRW,rating=Buy; base=1.874e+06,"– SOTP Method SOTP Method를 통해 도출한 27E 목표주가 1,874,000원, 상승여력 97%로 투자의견 BUY를 제시한다. 또한 보조 지표로 상장 자회사에 할인율 100%를 적용한 목표주가 1,668,000원도 함께 제시한다. AI라는 거대한 시대의 흐름 속에서 왜 CCL에 투자해야 하는지, CCL 중에서 왜 동사에 투자해야 하는지, 그리고 왜 더 이상 지주사를 두려워 할 필요가 없는지 살펴보자. 모든 신호가 동사가 Top-Pick임을 말하고 있다. 추정 손익계산서 - 연결 (단위: 십억 원) 2022 2023 2024 1H25 2H25E 2025E 2026E 2027E |매출액<br><br>YoY(%)|16,996 19,130 18,133 32.2% 12.6% -5.2%|9,645 10,980 6.5% 21.0%|...",ok,markdown reextract; Korean numeric ticker; exchange prefix inferred as KRX
2,5,2025-11-11T04:45:02,"Equity Research, 한국카본",한국카본,017960,KRX,Buy,http://snusmic.com/wp-content/uploads/2025/11/25_2_2주차_수정보고서_4팀_한국카본.pdf,2025-11-11_equity-research-한국카본-3.pdf,36600.0,,64000.0,,KRW,rating=Buy; base=64000,"① 북미발 LNG 플랜트 투자가 사상 최대 규모로 확정되며, 역대 최대 수준의 LNGc 수요 - 가 현실화되고 있다. 전방이 폭발하며 보냉재 산업도 전례없는 확장의 문턱에 서 있 - 다. 선박 한 척당 보냉재 적용량이 확대되고 중국 시장까지 개화되며 Q는 더욱 증가 한다. 동시에 LNGc 발주량 증가로 보냉재 P의 레벨업까지 이어질 것이다. - 2. 새로운 시장이 열린다 – 투자포인트 ② LNGc 중심으로 형성돼 온 보냉재 시장이 변화의 기로에 서 있다. LNGc 외 다양한 선 종에서 보냉재 적용이 확대되며, 동사는 단일 사이클 의존 구조에서 벗어나 새로운 성 장 동력을 확보하고 있다. 구조적으로 확장되는 수요와 불가피한 증설, 그리고 그 중 심에 선 동사, 새로운 시장이 열리는 순간이다. - 3. 보냉재 받고 SB까지, Why not?...",ok,markdown reextract; Korean numeric ticker; exchange prefix inferred as KRX
2,6,2025-11-11T04:42:34,"Equity Research, 코오롱티슈진",코오롱티슈진,950160,KRX,Strong Buy,http://snusmic.com/wp-content/uploads/2025/11/25_2_2주차_수정보고서_3팀_코오롱티슈진.pdf,2025-11-11_equity-research-코오롱티슈진.pdf,44800.0,,121000.0,233000.0,KRW,rating=Strong Buy; base=121000; bull=233000,"1: OA 치료제의 First in Class가 될 TG-C FDA의 신약 및 의약품 승인 조건은 효능, 안정성, CMC 세 가지이다. TG-C는 임상 시험을 통해 꾸준히 OA 치료제로서의 효능을 입증해왔다. 설계 과정에서부터 고려 한 안정성은 장기 추적 데이터가 공개되며, TG-C에 대한 오해를 불식시켰다. 경쟁사 들은 아직 OA 치료제의 기본적 효능도 입증하지 못하고 있다. 반면, 효능과 안정성 이 검증된 TG-C는 완비된 CMC 체계를 바탕으로 FDA 승인을 넘어 OA 치료제의 First in Class로 도약할 준비를 마쳤다. - 투자포인트 2: 부르는 게 값인 TG-C의 가치 임상 3상이 따 놓은 당상이라면, DMOAD는 TG-C의 가치를 한층 끌어올릴 절호의 기회다. 무릎 OA의 접근법이 연골에서 관절 전체 구조로 변화함에 따...",ok,markdown reextract; Korean numeric ticker; exchange prefix inferred as KRX
2,7,2025-11-11T04:41:17,"Equity Research, 지투지바이오",지투지바이오,456160,KRX,Buy,http://snusmic.com/wp-content/uploads/2025/11/25_2_2주차_수정보고서_2팀_지투지바이오.pdf,2025-11-11_equity-research-지투지바이오.pdf,55696.0,,319800.0,2023.0,KRW,rating=Buy; bull=2023; base=319800,"– DCF Method<br><br>DCF Method를 이용해 Base Case 1 기준 목표주가 319,800원, 상승여력 472%로 투자의견 Buy를 제시한다. Bull Case 및 Base Case 1에서는 노보 노디스크와 동사가 독점계약을 맺고 글로벌 비만 시장을 장기주사제형으로 함께 침투하는 상방을, Base Case 2에서는 이외의 후발주자와 함께하더라도 폭발적인 비만 시장이 받쳐주는 하 방을 그리며, 향후 동사의 원대한 꿈을 보여준다.<br><br>|매출액<br><br>YoY(%)|740 769 161 207.6% 3.9%|1,081 194,475 62,437 64,291 69,223 1,233,606 1,595,460 2,029,363 2,445,497 2,530,784 2,762,351 2,997,609 40.6% 17...",ok,markdown reextract; Korean numeric ticker; exchange prefix inferred as KRX
2,8,2025-11-11T04:39:51,"Equity Research, 풍산",풍산,103140,KRX,Hold,http://snusmic.com/wp-content/uploads/2025/11/25-2_2주차-수정보고서_1팀-풍산.pdf,2025-11-11_equity-research-풍산-2.pdf,110000.0,,120700.0,,KRW,rating=Hold; base=120700,". SOTP - Historical PER Method 2026E 신동사업부문의 EPS 1,907원에 Target Multiple 6.5x, 방산사업부문의 EPS 8,773에 Target Multiple 12.35x를 합산한 120,700원을 목표주가로 제시한다. 글로벌 시장 환경으로부터 동사에게 불어오는 훈풍은, 동사가 곧 숫자로 이를 보여주리라는 기대감을 불러일으킨다. 허나 공격적인 Valuation에도, 단기간 Upside는 제한적이다. 6.83% 주요 주주 풍산홀딩스 외 38.02% 국민연금공단 8.17% 자사주 2.53% 추정 연결손익계산서 (단위: 백만 원) 2021 2022 2023 2024 1H25 2025E 2026E 2027E |매출액<br><br>YoY(%)|3,509,498 4,372,983 4,125,264 4,5...",ok,markdown reextract; Korean numeric ticker; exchange prefix inferred as KRX; Non-buy rating: Hold
2,9,2025-10-23T06:13:29,"Equity Research, 로보티즈",로보티즈,108490,KRX,Buy,http://snusmic.com/wp-content/uploads/2025/10/25-2_1주차_수정보고서_5팀_로보티즈.pdf,2025-10-23_equity-research-로보티즈.pdf,192200.0,250900.0,355800.0,646500.0,KRW,rating=Buy; bear=250900; base=355800; bull=646500,"- DCF Method Base Case 기준, DCF Method를 이용하여 목표주가 355,800원, 상승여력 85%로 투 자의견 BUY를 제시한다. 실적도 없이 올해에만 645% 상승한 동사에 대해 시장의 기 대와 의심이 공존하고 있다. 휴머노이드 시대가 도래하는 시점과 규모에 대해 정량적 으로 분석한 후 Bull/Base/Bear Case별로 동사의 적정 가치를 구해보았다. 투자포인트 Key Metrics 자산총계(TTM) 부채총계(TTM) 자본총계(TTM) 1,045 억 원 37 억 원 1,008 억 원 - 가 실현된다면 10년 뒤의 Implied PER은 9.37x이다. 투자자들이여, 미래를 보라! Implied PER(30E) Implied PER(34E) 25.39x 9.37x 추정 손익계산서 - Base Case (단위:...",ok,markdown reextract; Korean numeric ticker; exchange prefix inferred as KRX
2,10,2025-10-23T06:11:06,"Equity Research, 마이크로컨텍솔",마이크로컨텍솔,098120,KRX,Buy,http://snusmic.com/wp-content/uploads/2025/10/25-2_1주차-수정보고서_4팀_마이크로컨텍솔.pdf,2025-10-23_equity-research-마이크로컨텍솔.pdf,26300.0,,58200.0,,KRW,rating=Buy; base=58200,"1 메모리에 머물던 동사가 마침내 AI 시대의 문을 두드린다. AMD 퀄테스트 통과는 단순 한 고객사 확보가 아니라, 사업 구조 전환의 방아쇠다. 국내외 경쟁 구도를 고려할 때, AMD가 선택할 수 있는 답은 동사 하나 뿐이다. 퀄테스트 통과가 현실화되면, AI 관련 기대감과 실적 상승으로 동사의 주가는 전례 없는 상승을 기록할 것이 분명하다. AMD 의 존재감이 커질수록, 동사의 후광 또한 더욱 뚜렷하게 빛날 것이다. ##### 3. 자라나는 아이 러버 소켓 – 투자포인트 2 메모리 슈퍼사이클이 도래했다. 그러나 동사 러버 소켓의 폭발적 성장은 사이클에만 의존하지 않는다. 마이크론에만 의존했던 동사 매출은 3Q25 SK하이닉스향으로, 4Q26 삼성전자향으로 창출되며 눈부신 도약을 보여줄 것이다. 그런데 심지어 이번 메모리 슈퍼사이클은...",ok,markdown reextract; Korean numeric ticker; exchange prefix inferred as KRX
2,11,2025-10-23T06:08:49,"Equity Research, Coreweave",Coreweave,CRWV,NASDAQ,Buy,http://snusmic.com/wp-content/uploads/2025/10/25-2_1주차_수정보고서_3팀_CoreWeave_Inc.pdf,2025-10-23_equity-research-coreweave.pdf,140.0,,241.0,,USD,rating=Buy; base=241,"동사의 2026E EBITDA $7,799 mn에 Target EV/EBITDA 21.3x를 적용한 $241을 목 표 주가로 제시한다. 사상 초유의 AI DC 사이클에 온몸을 맡긴 동사는 동시대의 파 도를 타고 순항 중인 25년 ORCL을 Peer로 선정했다. 폭발하는 전방 수요와 안정적 인 GPU 수급을 증명한 동사는 매출 growth와 본격적인 이익 턴어라운드 기대감과 함께 네오클라우드의 대장 자리를 굳건히 지킬 것이다. Estimated Income Statement 14.2 (U.S. Dollars in Millions) 2022 2023 2024 1Q25 2Q25 3Q25E 4Q25E 2025E 2026E 2027E 2028E |Revenue<br><br>YoY, QoQ (%)|16 229 1,915 11% 1346% 737%|...",ok,markdown reextract
2,12,2025-10-23T06:06:02,"Equity Research, Corning",Corning,GLW,NYSE,Buy,http://snusmic.com/wp-content/uploads/2025/10/25-2_1주차-수정보고서_2팀_Corning.pdf,2025-10-23_equity-research-corning-3.pdf,86.24,,144.0,,USD,rating=Buy; base=144,"– Historical Peer PER Method $ 11,545 M 동사의 2027E EPS 4.2$에 Target PER 34.6x를 적용한 목표주가 144$, Upside 66.8%, 투자의견 Buy를 제시한다. AI와 함께 걷잡을 수 없이 커지는 정보량은 네트 워크 초연결화로 이어졌다. 통신인프라 구축을 주도하는 미국의 팔은 안으로 굽어 그대로 동사의 광케이블로 향한다. 미국 내 인프라에서도 모자라 전세계를 향해 빛 의 속도로 뻗어나가는 동사의 광케이블은 도저히 멈출 줄을 모른다. 주요 주주 Vanguard Group Inc. 11.43% Samsung Electronics 7.94% BlackRock Inc. 7.41% Estimated Income Statement (USD in millions) 2021 2022 2023...",ok,markdown reextract
